title,category,winner
 역대급 화로대  불멍 기어 누적 펀딩   억  우드앤번의 새로운 역작 ,여행·레저,1
시끄러운 바퀴는 그만  저소음 러버휠로 야간에도 매너 캠핑 하세요 ,여행·레저,1
 카니멀라이프  가볍게 떠나는 여행엔  차량 필수템 차량용 테이블,여행·레저,0
 오늘 저녁  내가 있는 곳이 바로 캠핑장  레이  나만의 캠핑카가 되다,여행·레저,0
 모기 벌레 퇴치 하는 캠핑 선풍기 대용량 배터리 서큘레이터 크루카,여행·레저,1
코막   캠핑 감성 우드행어  랜턴   캠핑 옷걸이 행어 ,여행·레저,0
 글로벌   억 펀딩 해외에서 난리 난     급  프리미엄 캐리어 ,여행·레저,0
캠퍼 엄마들이 만든 시즈닝 오일 페이퍼,여행·레저,0
 앵콜  이 손바닥만한게 온열매트라고   땀뻘뻘 초경량 온열매트 포켓베드,여행·레저,1
 누적  억  불이 빙글빙글 돌아갑니다   토네이도  볼칸스토브  캠핑,여행·레저,0
앵콜  만원대 접히는 대용량 캠핑가방  수납의 질이 달라지는걸 느껴보세요,여행·레저,1
 조기마감주의  연기 멈춰  기름이 비켜가는 기와 닮은 가성비 고기 그릴,여행·레저,1
한 권으로 떠나는 여행  천 년의 역사가 담긴 다채로운  한국의 파랑 ,출판,1
 마지막앵콜 취업 준비생들을 위한 스피킹을 해결해주는  시간 영문법,출판,0
이시형 박사가 추천하는 면역증진 다이어트 키친,출판,0
세계 최초 새소리 악보집   야생 숲의 노트  한국어판 출간 프로젝트,출판,0
오일 파스텔 플라워 드로잉을 꿈꾸는 당신을 위한 책과 화원 오일 파스텔,출판,1
    억 앵콜 한 권으로 배우는 프로의 다이닝  모더니스트 퀴진 앳 홈,출판,1
 텐베거 투자 비법서  국내 주식으로   배 수익   가능합니다 ,출판,1
무조건 다음 편을 보게 하는 스토리 창작의 비밀   마법의 작법서,출판,0
당신을 위한 치즈 사전                     ,출판,0
 사인 포스트 유언장  보안과 법적 효력을 모두 담은 유언 작성 키트,출판,0
평범하지만 찬란한 모든 청춘에게   에세이  뭐라도 되겠죠 ,출판,0
 충격    점  직장인 영어 회화        영국식 영어 발음으로,출판,1
채식을 통한 내 삶의 변화를 파워 업 하는 비밀,출판,0
   년 전 조선왕조 르네상스의 한 순간을 소장하다  반차도 ,출판,1
아무도 가르쳐 주지 않는 건강 습관의 비밀,출판,0
출판에서 자격증 그리고 강사 경험까지 하나로 담다,출판,0
세상에서 가장 간단한 영어의 원리를 풀어준 영어 문법의 신세계,출판,0
전쟁과 평화 정기간행물 제 호  이순신편 ,출판,0
 직장인 투잡  하루  시간 수익 파이프라인 만들기   티스토리 블로그,출판,1
코인투자로 올드앤리치  차트말고 스캠말고 똑똑하게 장기투자 하는 법,출판,0
언어학자 김용태가 발명한 오감학습법   영어 어휘 습득법,출판,0
 부동산투자     만원으로 아파트 산 김사원 이야기,출판,1
 시간으로 끝내는 대학생과 직장인 영어공부 혼자하기용 궁극의 가이드북,출판,1
안데르센 동화 다시 쓰기  미운오리새끼  빅북  컬러링 빅북,출판,0
사진과 시가 만나는 순간  보스토크 매거진 특별호,출판,0
  잡 월 억인증  부업으로 시작해  주만에 퇴사각 스마트스토어 창업비법,출판,1
 평점  왕초보를 위한 캠핑용품으로 배우는 영문법 벚꽃에디션 ,출판,0
 누적  억 판매  하루   분      파일로 매달 월급만큼 벌기,출판,1
    만점 영포자가 영어 독해 상위   가 된 시크릿 ,출판,0
우울증에 걸린 나의 이야기    의 다이어리 ,출판,0
책쓰기 공식   출판하는 법   책써서 돈버는 법,출판,0
 청년 귀촌 이야기  도시 아닌 시골에서 탄생한 새로운 삶의 형태,출판,0
 창의력 쏙쏙 우뇌학습  디폼블럭 도안책으로  한글 공부하자  ,출판,0
     수익화 핵심 비법서      부의 마지막 기회 ,출판,1
   점 만점에     점  비교불가  내 인생 최고의 명화집  마리갤 ,출판,0
뮤직드라마와 함께 읽는 감성집  초록의 막장 ,출판,0
 한정판  내셔널지오그래픽 역대최초의 시리즈  위대한 발견편,출판,0
음악 레슨과 연습을 효율적으로 만들어주는 데일리 뮤직 플래너 ,출판,0
 진실의 눈으로 세상을 본다는 것  생활철학잡지  뉴필로소퍼 ,출판,0
성공 마인드를 장착하라   데일 카네기 의    일 성공확언,출판,0
  세대  정치 개혁을 외치다   책  우리나라는 정치만 잘 하면 된다,출판,0
스피디한 작업 기반의 파워포인트 작업 부업으로 월    만원 벌기,출판,0
 퇴근후 시간 누구나 할 수 있는 돈버는 전자책 종이책 강연까지,출판,1
     년 이직시즌  성공 이직을 위한  이직 성공 풀패키지 ,출판,0
    만점    억  그   마법의책  하루 시간 블로그로 대기업퇴사 ,출판,1
 강남놀부  세상은 가진 자와 없는 자  둘뿐이다  형제 같은 건 없다 ,출판,0
누구나 쉽게 나만의 곡 만드는 노하우  누 나 곡 ,출판,0
디지털 노마드를 위한 지침서                  ,출판,1
허리부터 엉덩이까지 시원한 반도체 냉풍시트,테크·가전,0
커피의 시작이자 마침표 로스팅   커피생활을 확 바꿔줄 스마트   로스터,테크·가전,1
음향장인 야마하   만원대 사운드바 작은 사이즈에서 터지는 초강력 사운드,테크·가전,1
내귀의 피로감을 싹 귀를 열고 안전하게 사운드를 즐기자  골전도 이어폰,테크·가전,1
갤러플 아이폰 맥세이프 그립 스마트 톡 핸드폰 가죽 카드지갑 거치대,테크·가전,0
 진로   레가토 불 없이 요리를   초슬림 미니그릴 초깔끔하게 정리가능,테크·가전,1
                        일상을 기록하는 간편한 방법,테크·가전,0
특허 받은 미생물은 확실히 달라요 전문 기업의   만원대 음식물 처리기,테크·가전,1
